problem_number,Day,mode,initial MSE,MSE,added_train_set_labels,train_point_df_initial
3,0,GP,0.5945945945945946,0.1638888888888889,[ 568   77  765 1720 2510 1071 1858 1459 2670 1237 1621 2036],[568  77]
3,1,GP,0.5945945945945946,0.1457142857142857,[ 568   77 1905 1989 3533 2499 2264 2030 1934 1932 1924 2099],[ 568   77  765 1720 2510 1071 1858 1459 2670 1237 1621 2036]
3,2,GP,0.5945945945945946,0.07941176470588235,[ 568   77 1849  214 1344  422 2304  343  208  243 3720 2084],"[ 568   77  765 1720 2510 1071 1858 1459 2670 1237 1621 2036 1905 1989
 3533 2499 2264 2030 1934 1932 1924 2099]"
4,0,GP,0.36486486486486486,0.11634349030470914,[1830  309 3625 1400  765 3720 1529 1237 1621  526 2036],[1830  309]
4,1,GP,0.36486486486486486,0.09971509971509972,[1830  309 1946  951  214   73 3688  108 1014 2157 1845  243],[1830  309 3625 1400  765 3720 1529 1237 1621  526 2036]
4,2,GP,0.36486486486486486,0.093841642228739,[1830  309 1850 2499 1857 2163 2513  343 1858 2829  271  422],"[1830  309 3625 1400  765 3720 1529 1237 1621  526 2036 1946  951  214
   73 3688  108 1014 2157 1845  243]"
5,0,GP,0.6648648648648648,0.24444444444444444,[3306  859 3651 2304 2636  951 3467 3488 1237  526 2606  836],[3306  859]
5,1,GP,0.6648648648648648,0.211864406779661,[3306  859   98   54 2106 1010   64 2510],[3306  859 3651 2304 2636  951 3467 3488 1237  526 2606  836]
5,2,GP,0.6648648648648648,0.19420289855072465,[3306  859 2159 2250  969 1343  205   66   73 1989  214],"[3306  859 3651 2304 2636  951 3467 3488 1237  526 2606  836   98   54
 2106 1010   64 2510]"
6,0,GP,0.7648648648648648,0.16897506925207756,[2565  348 2656 1344 1692   73  590 1071 3634  951  449],[2565  348]
6,1,GP,0.7648648648648648,0.13352272727272727,[2565  348  159  346 1858 1850 2250 2510 1989 3376 1905],[2565  348 2656 1344 1692   73  590 1071 3634  951  449]
6,2,GP,0.7648648648648648,0.06725146198830409,[2565  348 1857   71   23  387  108   56 2106 2036  309 3720],"[2565  348 2656 1344 1692   73  590 1071 3634  951  449  159  346 1858
 1850 2250 2510 1989 3376 1905]"
7,0,GP,0.46216216216216216,0.24793388429752067,[1189 2774 1771  422 3651 1206  765 2670 2421],[1189 2774]
7,1,GP,0.46216216216216216,0.22253521126760564,[1189 2774 1621  526 3533  761 2606 1237  836 2036],[1189 2774 1771  422 3651 1206  765 2670 2421]
7,2,GP,0.46216216216216216,0.26666666666666666,[1189 2774  271  312  214 1986 1932 3161 1357 2163  185  243],"[1189 2774 1771  422 3651 1206  765 2670 2421 1621  526 3533  761 2606
 1237  836 2036]"
8,0,GP,0.6054054054054054,0.1745152354570637,[ 271 3050 3285 1694 2636  127 1849  503 2774  955 1946],[ 271 3050]
8,1,GP,0.6054054054054054,0.11048158640226628,[ 271 3050 1896  338 3161 2157 2879   98 2054 1350],[ 271 3050 3285 1694 2636  127 1849  503 2774  955 1946]
8,2,GP,0.6054054054054054,0.07871720116618076,[ 271 3050 2513  626  486 2106 1850 2304 2499 1857 2159 2084],"[ 271 3050 3285 1694 2636  127 1849  503 2774  955 1946 1896  338 3161
 2157 2879   98 2054 1350]"
9,0,GP,0.6081081081081081,0.18333333333333332,[1896 2725 1237 1069 2264 2828 3467  526 2636 3533  159   73],[1896 2725]
9,1,GP,0.6081081081081081,0.14285714285714285,[1896 2725  972  343 2157 1021  309 2064 1350  312 1845  948],[1896 2725 1237 1069 2264 2828 3467  526 2636 3533  159   73]
