yy m d hh mm ss cccccc lat lon TV TC FloV
2006 5 10 17 7 16 564991 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 17 563262 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 16 495040 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 18 229983 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 19 233072 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 20 174984 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 18 153105 33.805039 -116.780141 1.260000 21.172958 0.000000
2006 5 10 17 7 19 135275 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 20 915430 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 18 863681 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 19 815617 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 20 780379 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 21 785312 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 19 735397 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 20 757036 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 21 718331 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 23 769866 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 25 263424 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 25 591526 33.805038 -116.780141 1.260000 21.172958 0.000000
2006 5 10 17 7 26 553554 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 27 370094 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 28 404589 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 31 309779 33.805039 -116.780141 1.260000 21.172958 0.000000
2006 5 10 17 7 32 257423 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 33 959864 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 33 996754 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 36 35738 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 36 153545 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 37 149211 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 39 332820 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 41 320870 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 43 607752 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 43 557209 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 45 71158 33.805039 -116.780141 1.250000 20.927665 0.000000
2006 5 10 17 7 47 19378 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 47 976893 33.805039 -116.780141 1.240000 20.681000 0.000000
2006 5 10 17 7 49 985116 33.805039 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 7 50 998119 33.805039 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 7 51 937598 33.805039 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 7 55 356899 33.805040 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 7 56 311910 33.805040 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 7 57 286237 33.805040 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 1 222601 33.805000 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 5 66223 33.805040 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 6 798932 33.805040 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 7 758926 33.805040 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 7 805082 33.805041 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 8 770773 33.805041 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 9 729228 33.805041 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 11 557933 33.805041 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 11 504766 33.805041 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 12 512977 33.805041 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 14 455429 33.805041 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 15 432742 33.805041 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 15 397684 33.805041 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 16 447043 33.805041 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 17 410631 33.805041 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 20 464541 33.805042 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 21 697243 33.805042 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 22 698354 33.805042 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 25 634209 33.805042 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 27 342861 33.805042 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 28 310392 33.805042 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 30 247864 33.805042 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 31 227608 33.805042 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 32 227105 33.805042 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 33 637859 33.805042 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 33 650066 33.805042 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 36 580800 33.805043 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 37 605385 33.805043 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 39 938698 33.805043 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 38 909338 33.805043 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 41 909638 33.805043 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 42 874599 33.805043 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 43 816866 33.805043 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 44 799018 33.805043 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 46 733253 33.805043 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 47 90038 33.805043 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 48 99512 33.805043 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 50 100751 33.805043 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 50 815249 33.805043 -116.780142 1.260000 21.172958 0.000000
2006 5 10 17 8 53 728612 33.805043 -116.780142 1.250000 20.927665 0.000000
2006 5 10 17 8 55 441180 33.805043 -116.780142 1.240000 20.681000 0.000000
2006 5 10 17 8 55 137460 33.805043 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 8 56 104048 33.805043 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 8 58 49357 33.805043 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 8 59 23102 33.805043 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 0 3643 33.805043 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 8 59 996873 33.805043 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 1 973599 33.805043 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 2 934402 33.805043 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 9 5 879378 33.805043 -116.780143 1.240000 20.681000 0.000000
2006 5 10 17 9 6 791465 33.805043 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 7 793121 33.805043 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 9 8 763352 33.805043 -116.780143 1.240000 20.681000 0.000000
2006 5 10 17 9 12 770517 33.805044 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 9 12 808366 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 13 768915 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 15 713689 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 16 715323 33.805044 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 9 18 570412 33.805044 -116.780143 1.260000 21.172958 0.000000
2006 5 10 17 9 19 505878 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 19 514739 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 20 465118 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 21 435452 33.805044 -116.780000 1.250000 20.927665 0.000000
2006 5 10 17 9 24 430762 33.805044 -116.780143 1.250000 20.927665 0.000000
2006 5 10 17 9 25 379538 33.805044 -116.780144 1.260000 21.172958 0.000000
2006 5 10 17 9 26 419174 33.805044 -116.780144 1.260000 21.172958 0.000000
2006 5 10 17 9 27 338800 33.805044 -116.780144 1.240000 20.681000 0.000000
2006 5 10 17 9 28 324638 33.805044 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 30 314931 33.805044 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 31 266489 33.805044 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 32 265446 33.805043 -116.780144 1.260000 21.172958 0.000000
2006 5 10 17 9 34 237886 33.805043 -116.780144 1.260000 21.172958 0.000000
2006 5 10 17 9 35 224364 33.805043 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 36 186812 33.805043 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 37 148578 33.805043 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 38 116368 33.805043 -116.780144 1.260000 21.172958 0.000000
2006 5 10 17 9 39 91540 33.805043 -116.780144 1.250000 20.927665 0.000000
2006 5 10 17 9 40 98093 33.805043 -116.780144 1.240000 20.681000 0.000000
2006 5 10 17 9 41 77174 33.805043 -116.780144 1.260000 21.172958 0.000000
2006 5 10 17 9 42 117341 33.805043 -116.780145 1.260000 21.172958 0.000000
2006 5 10 17 9 43 512044 33.805043 -116.780145 1.250000 20.927665 0.000000
2006 5 10 17 9 44 434627 33.805043 -116.780145 1.250000 20.927665 0.000000
